"temp","GP_DW","treatment_type","type","percent","ratio"
2,2.844125968,"treatment","DR",15.57361466,0.1557361466
5,1.688121333,"treatment","DR",23.34632849,0.2334632849
10,4.019452133,"treatment","DR",37.52937223,0.3752937223
15,5.071942538,"treatment","DR",49.6318954,0.496318954
20,5.008103922,"treatment","DR",74.81159102,0.7481159102
25,5.151149027,"treatment","DR",91.25565975,0.9125565975
30,8.129728214,"treatment","DR",83.26979475,0.8326979475
2,2.844125968,"treatment","NP",84.42638534,0.8442638534
5,1.688121333,"treatment","NP",76.65367151,0.7665367151
10,4.019452133,"treatment","NP",62.47062777,0.6247062777
15,5.071942538,"treatment","NP",50.3681046,0.503681046
20,5.008103922,"treatment","NP",25.18840898,0.2518840898
25,5.151149027,"treatment","NP",8.744340247,0.08744340247
30,8.129728214,"treatment","NP",16.73020525,0.1673020525
2,1.582515937,"control","DR",20.86482126,0.2086482126
5,1.592242268,"control","DR",37.46422881,0.3746422881
10,2.705093459,"control","DR",50.75758845,0.5075758845
15,2.864024543,"control","DR",82.9615059,0.829615059
20,4.434447332,"control","DR",85.62001297,0.8562001297
25,6.356064819,"control","DR",74.40548101,0.7440548101
30,8.266546918,"control","DR",74.65323918,0.7465323918
2,1.582515937,"control","NP",79.13517874,0.7913517874
5,1.592242268,"control","NP",62.53577119,0.6253577119
10,2.705093459,"control","NP",49.24241155,0.4924241155
15,2.864024543,"control","NP",17.0384941,0.170384941
20,4.434447332,"control","NP",14.37998703,0.1437998703
25,6.356064819,"control","NP",25.59451899,0.2559451899
30,8.266546918,"control","NP",25.34676082,0.2534676082
